Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
O senhor dos ladrões		Cornelia Funke	9788535905304	2004	367	pt-BR		"Cornelia Funke pertence a uma categoria especialíssima da literatura juvenil: muito premiada. é best-seller em diversos países e amada por leitores de todas as idades. NÃo por acaso. vem sendo comparada à sueca Astrid Lindgren (de Píppi Meialonga) e a J. K. ROwling (de Harry Potter). Uma das maiores forças de seus textos é a originalidade com que trata o tema da infância e da idade adulta. um dos principais eixos de O Senhor dos Ladrões. que conta a história de um grupo de crianças órfãs que mora num cinema abandonado na cidade de Veneza. SEu protetor é Scipio. o auto-intitulado Senhor dos Ladrões. um garoto que rouba casas luxuosas de Veneza para sustentar as crianças de rua. SCipio é contratado para um trabalho especial: surrupiar uma asa de madeira da casa da fotógrafa Ida Spavento. O Objeto tem propriedades mágicas. e logo todos estarão envolvidos numa aventura onde crianças viram adultos e vice-versa. O Senhor dos Ladrões teve seus direitos de publicação comprados por mais de 36 países. DEpois de grande sucesso na Alemanha. onde vendeu 500 mil exemplares. e nos países de língua inglesa (mais meio milhão de exemplares vendidos). o livro também recebeu seis prêmios internacionais de literatura infantil. ""Uma obra-prima da fantasia [...] ."" - The Guardian ""Um olhar lógico e lúdico sobre a infância e a idade adulta."" - The Guardian ""O Senhor dos Ladrões é uma aventura mágica que pode ser lida em qualquer idade. graças a seus personagens complexos - ninguém é completamente bom ou ruim - e à maneira séria como retrata crianças enfrentando decisões reais. que podem ter consequências para o resto de suas vidas."" - The New York Times ""Cornelia Funke é uma inventora de mundos fantásticos. uma escritora que promete muito."" - Der Spiegel ""Vinte e cinco anos após Michael Ende. a literatura infantil alemã festeja outro sucesso mundial."" - Stuttgarter Nachrichten ""Escrita para leitores de nove anos ou mais. esta história de aventura e intriga situada na Veneza contemporânea pode ser lida - ou melhor. devorada - por adolescentes e adultos."" - USA Today ""Completamente delicioso."" - The Observer"	
O medico e o monstro		Robert Louis Stevenson	9788508045280	1993	96	pt-BR		Esta obra traz à vida uma história sobre a natureza humana e a dualidade entre o bem e o mal. O livro acompanha a investigação do advogado Gabriel John Utterson sobre as estranhas ocorrências com seu amigo Dr. Henry Jekyll. um homem recatado. elegante. que protege. até depois de sua morte. Edward Hyde. um criminoso de feições grosseiras e hábitos assustadores.	
FAZENDO MEU FILME. V.2 - FANI NA TERRA DA RAINHA		PAULA PIMENTA	9788589239806		328	pt-BR		Neste livro. a autora apresenta as aventuras de Estefânia Castelino Belluz na Inglaterra. Longe do grande amor. ela passa por momentos de alegria. dor. saudade. tristeza e. mais do que isso. pode conhecer melhor a si mesma. Mais do que a história de uma adolescente que se encoraja a fazer intercâmbio e morar fora por um ano. este livro fala de um grande e delicado amor.	
O homem que calculava		Malba Tahan	9788501023148	2000	224	pt-BR			
O apanhador no campo de centeio		Jerome David Salinger. Antônio Rocha. Álvaro Alencar. Jório Dauster	9788587575012	200?	246	pt-BR		Um garoto americano de 16 anos relata com suas próprias palavras as experiências que ele atravessa durante os tempos de escola e depois. Revela o que se passa em sua cabeça. O que será que um adolescente pensa sobre seus pais. professores e amigos?	
			9788501053534						
			9788577012534						
			9788575423509						
			9788598621067						
			9788579142086						
			9788535915020						
O xangô de Baker Street	romance	Jô Soares	9788571644823	1995	349	pt-BR			http://books.google.com/books/content?id=n48tAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788520506301						
			9788573370294						
Ponte para Terabítia		Katherine Paterson	9788516050528	2018	160	pt-BR		Na volta às aulas. Jess conhece uma aluna nova: Leslie. Os dois tornam-se grandes amigos e criam um reino imaginário. chamado Terabítia. onde estão protegidos das ameaças da vida cotidiana. Até que um dia. uma fatalidade os separa.--	
			9788525047922						
A casa dos budas ditosos		João Ubaldo Ribeiro	9788573022391	1999	163	pt-BR			http://books.google.com/books/content?id=FWpfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788534525916						
Descubra seus pontos fortes	um programa revolucionário que mostra como desenvolver seus talentos especiais e os das pessoas que você lidera	Marcus Buckingham. Donald O. Clifton. Mário Molina	9788575423929	2008	270	pt-BR		Marcus Buckingham e Donald O. Clifton descobriram que a maioria das empresas dá pouca ou nenhuma atenção aos pontos fortes de seus funcionários. Preferem investir tempo e dinheiro na tarefa de corrigir suas fraquezas. achando que desse modo as pessoas atingirão a excelência. Por outro lado. a pesquisa revelou que os profissionais bem-sucedidos compartilham um segredo - usam suas energias para aprimorar aquilo que fazem melhor. deixando seus pontos fracos em segundo plano. E. assim. tornam-se cada vez mais competentes. produtivos e felizes. Para ajudar o leitor a descobrir quais são e como aprimorar seus talentos e de seus colaboradores. este livro traz um programa em torno do teste 'Descubra a fonte de seus pontos fortes'.	
			9788520505120						
Dicionário gaúcho	termos. expressões. adágios. ditados e outras barbaridades	Alberto Juvenal de Oliveira	9788574970929	2002	277	pt-BR			http://books.google.com/books/content?id=8oz2QZsQDRsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mais mil piadas do Brasil		Laert Sarrumor	9788586075476	1999	231	pt-BR		Neste segundo volume. uma divertida coletânea de piadas que trazem de volta o hilariante grupo formado pelo português. o papagaio. a bicha. o negão e o padre. entre inúmeros outros. além de uma seleção de piadas saídas do forno. onde não faltam personagens como FHC e a loira-burra. para citar apenas algumas das 'vítimas'. Numeradas de 1001 a 2000. e ilustradas por Negreiros. estas anedotas são a garantia de muita diversão.	
Acecho Virtual / Unnatural Exposure		Patricia Daniels Cornwell	9789500819947	1998	344	es		Un thriller aterrador en el que las pistas no aparecen y el asesino lanza sus amenazas por el ciberespacio.	http://books.google.com/books/content?id=iKAMAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788565907026						
			9788573799446						
Australia's Animals		Dalys Newman	9781876553333	2004	128	en			
			9788566365061						
Casa & Cia	casa para sonhar. casa para morar	Eleone Prestes. Carlos Edler. Rosele Martins. Tatiana Cruz. Mostra Casa & Cia	9788589489607	2004	204	pt-BR			
			9788576842392						
			9788574023526						
			9788568786000						
Noite na taverna		Manoel António Álvares de Azevedo	9788525408648	2009	89	pt-BR		"Manuel Antônio Álvares de Azevedo (1831-1852). escritor e poeta romântico. foi em tudo coerente com a arrebatada opção estética (o romantismo) que fez: genial. culto. precoce. construiu uma obra pequena. porém clássica. dentro da língua portuguesa e morreu de tuberculose aos vinte e um anos incompletos. Aos 10 anos já falava inglês. francês e latim. Cursou a faculdade de Direito em São Paulo e teve praticamente toda a sua obra publicada após a sua morte. Como escritor brilhante que foi e poeta original e talentoso. a qualidade da sua obra surpreende pela precocidade com que foi concebida. Discípulo dos românticos europeus. como Byron. Hoffmann e Shelley. seus textos refletem o ambiente de sua época. onde a literatura estava impregnada de pessimismo. ceticismo. morbidez e pressentimento da morte. Este Rimbaud tropical escreveu Noite na taverna. um clássico composto de sete contos ímpares na literatura de língua portuguesa. a genial coletânea de seus poemas. Lira dos 20 Anos. e outros textos como Cartas. a série humorística Spleen e Charutos. Poema do Frade. O Conde Lopo. entre outras obras. Discursos. 1849. foi seu único texto publicado em vida. Contos: ""Uma noite do século"" ""Solfieri"" ""Bertram"" ""Gennaro"" ""Claudius Hermann"" ""Johann"" ""Último beijo de amor"""	
Édipo rei		Sófocles. Paulo Neves	9788525409140	1998	104	pt-BR		Atormentado pela profecia de Delfos. de que iria matar o pai e desposar a mãe. Édipo tenta fugir de seu destino.	
Otelo		William Shakespeare	9788525410177	1999	190	pt-BR		Nesta tragédia. Shakespeare explora as várias faces da alma humana. O pérfido Iago. através de intrigas sutis conduz Otelo ao ciúme infernal e enlouquecedor.	
Memórias de um sargento de milícias		Manuel Antônio de Almeida	9788525406675	1997	208	pt-BR		A linguagem popular e a vida das camadas pobres e médias são as protagonistas deste romance que faz uma crônica de costumes do Brasil de dom João VI. A história descreve a trajetória do anti-herói Leonardo. endiabrado filho de imigrantes portugueses que. após uma infância atribulada. escolhe a vadiagem como ocupação e. depois de inúmeros percalços. acaba se tornando um sargento de milícias.	
			9788525411464						
Bandeira de bolso	uma antologia poética	Manuel Bandeira. Mara Jardim	9788525417398	2008	166	pt-BR		Este volume reúne 149 poemas de Manuel Bandeira (1886-1968). o mais brasileiro dos nossos poetas. Tuberculoso desenganado que viveu até os 82 anos. modernista de primeira hora. precursor do verso livre. era. ao mesmo tempo. admirador de Olavo Bilac e das formas poéticas fixas. Bandeira trouxe à poesia a realidade do país. a ginga. a malandragem. a fala das ruas. os pequenos personagens. E deu a esses fenômenos sua mais bela expressão.	
Poesias		Fernando Pessoa. Sueli Barros Cassal	9788525406170	1997	134	pt-BR		Esta antologia organizada por Sueli Barros Cassal contém poemas escritos pelo poeta português Fernando Pessoa em suas diversas fases e também por seus heterônimos.	
A culpa é das estrelas		John Green	9788580572261	2012-07-06	288	pt-BR		Hazel é uma paciente terminal. Ainda que. por um milagre da medicina. seu tumor tenha encolhido bastante — o que lhe dá a promessa de viver mais alguns anos —. o último capítulo de sua história foi escrito no momento do diagnóstico. Mas em todo bom enredo há uma reviravolta. e a de Hazel se chama Augustus Waters. um garoto bonito que certo dia aparece no Grupo de Apoio a Crianças com Câncer. Juntos. os dois vão preencher o pequeno infinito das páginas em branco de suas vidas. Inspirador. corajoso. irreverente e brutal. A culpa é das estrelas é a obra mais ambiciosa e emocionante de John Green. sobre a alegria e a tragédia que é viver e amar.	
			9788525410801						
			9788525410887						
Auto da Compadecida	Edition en langue portugaise	Ariano Suassuna	9788522006588	2005	186	pt-BR		O 'Auto da Compadecida'. de Ariano Suassuna. consegue o equilíbrio perfeito entre a tradição popular e a elaboração literária ao recriar para o teatro episódios registrados na tradição popular do cordel. Esta nova edição é revista pelo autor. O livro traz. ainda. o texto de apresentação de Bráulio Tavares e desenhos e pinturas de Romero de Andrade Lima.	
			9788541001977						
			9788526293946						
			9788516074777						
			9788501036889						
			9781571450067						
Mentes e manias	entendendo melhor o mundo das pessoas sistemáticas. obsessivas e complusivas	Ana Beatriz B. Silva	9788573124125	2004	178	pt-BR		Trata do Transtorno obsessivo-compulsivo e de seu tratamento.	
Formaturas infernais		Meg Cabot. Michele Jaffe. Kim Harrison. Stephenie Meyer. Lauren Myracle. Camila Mello	9788501085368	2009	318	pt-BR		Nesta coleção de contos de terror. as autoras Meg Cabot (O Diário da Princesa). Stephanie Meyer (Twilight). Kim Harrison. Michele Faffe e Lauren Myracle se reuniram para mostrar que a formatura pode ser um evento muito mais aterrorizante do que se pensa. Problemas no guarda-roupa e um par que dança mal não são nada comparados a descobrir que se pode estar dançando com a Morte - e que ela não está aqui para elogiar seu vestido.	
Felicidade Autêntica		Martin E. P. Seligman	9788573025750	2002	333	pt-BR		Neste livro. o conceituado psicólogo Martin E. P. Seligman apresenta um estudo científico notável. baseado na revolucionária ideia da Psicologia Positiva. Numa narrativa simples e direta. Seligman apresenta passo a passo suas descobertas sobre felicidade e longevidade e de que maneira podemos dar nossa parcela de contribuição para um mundo melhor e alcançar níveis sustentáveis de alegria. gratificação e significado autênticos em nossas vidas. Por que a evolução nos dotou de sentimentos positivos? Quais são as funções e consequências dessas emoções. além de nos fazer sentir bem? O que permite e o que impede essas emoções? Seligman busca responder tais questões e mostra como o lado positivo da vida foi negligenciado. Para cada cem artigos de jornal sobre tristeza. apenas um é escrito sobre felicidade. O objetivo principal deste livro é corrigir o desequilíbrio. incentivando o campo da psicologia a complementar seu conhecimento acumulado sobre sofrimento e doença mental com novos conhecimentos sobre emoções positivas. virtudes e forças pessoais.	
Os homens que não amavam as mulheres		Stieg Larsson. Paulo Neves	9788535916263	2010	522	pt-BR		Em 1966. Harriet Vanger. jovem herdeira de um império industrial. some sem deixar vestígios. No dia de seu desaparecimento. fechara-se o acesso à ilha onde ela e diversos membros de sua extensa família se encontravam. Desde então. a cada ano. Henrik Vanger. o velho patriarca do clã. recebe uma flor emoldurada - o mesmo presente que Harriet lhe dava. até desaparecer. Henrik está convencido de que ela foi assassinada. e que um Vanger a matou. Quase quarenta anos depois. o industrial contrata o jornalista Mikael Blomkvist para conduzir uma investigação particular. Mikael. que acabara de ser condenado por difamação contra o financista Wennerström. preocupa-se com a crise de credibilidade que atinge sua revista. a Millennium. Henrik lhe oferece proteção se o jornalista consentir em investigar o assassinato de Harriet. Mikael descobre que suas inquirições não são bem-vindas pela família Vanger. e que muitos querem vê-lo pelas costas. Com o auxílio de Lisbeth Salander. que conta com uma mente infatigável para a busca de dados. ele percebe que a trilha de segredos e perversidades do clã industrial recua até muito antes do desaparecimento ou morte de Harriet.	
O ócio criativo	"entrevista a Maria Serena Palieri ; [tradução Léa Manzi]"	Domenico De Masi	9788586796456	2000	328	pt-BR		Domenico De Masi expôs suas idéias sobre a sociedade e o trabalho em diversos livros destinados aos amantes da Sociologia. Atento ao crescente interesse de um público mais amplo em seus conceitos e sua visão do futuro. De Masi elabora neste livro os temas da sociedade pós-industrial. do desenvolvimento sem emprego. da globalização. da criatividade e do tempo livre. Insatisfeito com o modelo social centrado na idolatria do trabalho. ele propõe um novo modelo baseado na simultaneidade entre trabalho. estudo e lazer. no qual os indivíduos são educados a privilegiar a satisfação de necessidades radicais. como a introspecção. a amizade. o amor. as atividades lúdicas e a convivência.	
			9788572326919						
			9788535912326						
			9788535914061						
			9788535904680						
Laboratorieøvelser for radiomekanikere			9788501104656	1958	39	pt-BR			
			9781740333788						
			9788542203585						
A viagem do pirata. Richard Hawkins 1590-1594	história autêntica da era dos descobrimentos	E. San Martin	9788574210360	2001	429	pt-BR			
Film		Richard Platt	679816798	1992	62	en		A photographic essay explores the history and technology of filmmaking. including how a set is built. how stunts are performed. how special effects are achieved. and how films are edited.	http://books.google.com/books/content?id=E3BCb7UxnGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Neve		Orhan Pamuk	9788535909227	2006	487	pt-BR		Neve' traz a história de Ka. poeta exilado na Alemanha. que viaja a uma pequena cidade turca sob o pretexto de investigar a onda de suicídios entre jovens muçulmanas que assola o vilarejo. Durante essa visita. uma nevasca bloqueia todas as estradas. insulando a cidade do resto do mundo. É nesse clima de isolamento que um veterano ator e sua mulher aproveitam para liderar um golpe militar. Embora tenha se distanciado da política há muitos anos. Ka é alçado a protagonista involuntário dessa revolução. Nada menos apropriado para um escritor cujos desejos são apenas registrar as poesias que lhe escapam há anos. mas que agora passam a fluir com extrema naturalidade. e se casar com Ìpek. antiga colega de escola. Mas o turbilhão provocado pelo golpe traz à tona a truculência das forças de segurança. antigos ajustes de contas e o radicalismo de alguns militantes islâmicos. Enquanto Ka tenta se equilibrar entre as diversas facções em choque. vê a cidade se tornar um microcosmo dos conflitos raciais. políticos e étnicos da Turquia. além de palco da sua tragédia pessoal.	
O dia do curinga		Jostein Gaarder	9788571645400	1995	378	pt-BR		Você já pensou que num baralho existem muitas cartas de copas e de ouros. outras tantas de espadas e de paus. mas que existe apenas um curinga?. pergunta à sua mãe certa vez a jovem protagonista de O mundo de Sofia.Esse é o ponto de partida deste outro livro de Jostein Gaarder. a história de um garoto chamado Hans-Thomas e seu pai. que cruzam a Europa. da Noruega à Grécia. à procura da mulher que os deixou oito anos antes. No meio da viagem. um livro misterioso desencadeia uma narrativa paralela. em que mitos gregos. maldições de família. náufragos e cartas de baralho que ganham vida transformam a viagem de Hans-Thomas numa autêntica iniciação à busca do conhecimento - ou à filosofia.O dia do curinga é a história de muitas viagens fantásticas que se entrelaçam numa viagem única e ainda mais fantástica - e que só pode ser feita por um grande aventureiro: o leitor.Título Altamente Recomendável pela Fundação Nacional do Livro Infantil e Juvenil - FNLIJ 1996. categoria tradução/jovem	
			9788525409553						
			9788587658661						
Snoopy. eu te amo!	o amor em forma de tirinhas apaixonadas	Charles M. Schultz	9788576160373	2004	96	pt-BR		Este livro reúne cinqüenta anos de tiras de amor do inigualável Charles Schulz. Será que este ano a garotinha ruiva vai mandar um cartão apaixonado para o Charlie Brown? Para a turma do Snoopy. o amor está no ar... e o humor e a amizade também. 'Snoopy. Eu te Amo!' é uma charmosa coletânea. um presente perfeito para se demonstrar um amor especial a alguém.	
			9788575811696						
A Treasury of Fairy Tales		Annie-Claude Martin	9780831733988	1994-07-01	400	en		"Retells the stories of ""Cinderella."" ""Beauty and the Beast."" ""Puss in Boots."" ""The Princess and the Pea."" ""Ali Baba and the Forty Thieves."" ""The Little Tailor."" and ""The Seven-League Boots."""	
Histórias brasileiras de verão		Luís Fernando Veríssimo	9788573022742	1999	281	pt-BR			http://books.google.com/books/content?id=760tAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sanduíches de realidade		Arnaldo Jabor	9788573021691	1997	275	pt-BR			http://books.google.com/books/content?id=ZEVfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Vulgar. o Viking. e os Saqueadores de Bolinhos de Pedra		ODIN BARBA-RUIVA. SARAH HORNE. ALEXANDRE BOIDE	9788566357387		96	pt-BR		Vulgar ama a ideia de ser um viking - as invasões. as pilhagens. as barbas... Porém. a vida na vila de Lorota é tão chata. só há tricô e tédio. Determinado a resgatar o verdadeiro espírito viking. ele arma com seus amigos um plano ambicioso para saquear a padaria. Mas para chegar lá. eles precisam atravessar a lagoa.	
Disney Club Penguin : O aprendiz de inventor		DISNEY	9788506061138	2010	80	pt-BR		Você acaba de ganhar um concurso de invenções. e o prêmio é passar um dia como aprendiz de Gary. o Pinguim Inventor! Você vai poder ajudá-lo a aperfeiçoar sua última criação -- uma prancha veloz movida por foguetes ou uma máquina do tempo. Ou pode ser que o aprendizado seja um desastre total. O que será que vai acontecer? Você escolhe! --p.[4] of cover.	
			9788525405548						
Maluquinho Por Festas		Ziraldo	9788525042781		111	pt-BR		As melhores baladas dos quadrinhos do Menino Maluquinho e sua Turma estão em 'Maluquinho por festas'. O livro traz histórias engraçadíssimas da turminha em aniversários. bailes. festas à fantasia e muitas outras! Mas a diversão não pára por aí! Maluquinho por festas tem ainda seis passatempos superlegais ambientados na festa do Maluquinho. O convite está feito. Agora é só abrir as páginas e se divertir a valer nessa festa maluquinha!	http://books.google.com/books/content?id=rhP0ORnw5iUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
			9788541001991						
Novas comédias da vida privada	123 crônicas escolhidas	Luís Fernando Veríssimo	9788525405821	1996	344	pt-BR			http://books.google.com/books/content?id=OXZfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Baudolino		Umberto Eco	9788501060266	2001	459	pt-BR		Em seu quarto romance. o autor homenageia o santo protetor de sua cidade natal. Alexandria. A trama é protagonizada por Baudolino - adolescente. criativo e mentiroso que conquista o imperador Federico Barbarossa e se torna seu filho adotivo - e Niceta Coniate. personagem inspirado em um historiador e orador que viveu na corte de Constantinopla.	
			9788580444568						
A interpretação dos sonhos		Sigmund Freud. Walderedo Ismael de Oliveira	9788531206856	1999	614	de		A interpretação de sonhos. segundo Freud. desvela. sobretudo. os conteúdos mentais reprimidos ou excluídos da consciência pelas atividades de defesa do ego e justifica inquestionavelmente sua posição dentro da psicanálise. já que a parte do id cujo acesso à consciência foi impedido é exatamente a que se encontra envolvida na origem das neuroses. O interesse de Freud pelos sonhos teve origem no fato de constituírem eles processos normais. com os quais todos estão familiarizados. mas que exemplificam processos atuantes na formação dos sintomas neuróticos.	
			9788582862582						
			9788520935521						
Eclipse		Stephenie Meyer	9788598078410	2011-12-15	446	pt-BR		Enquanto Seattle é assolada por uma sequência de assassinatos misteriosos e uma vampira maligna continua em sua busca por vingança. Bella está cercada de perigos outra vez. Em meio a isso. ela é forçada a escolher entre seu amor por Edward e sua amizade com Jacob - sabendo que essa decisão tem o potencial para reacender o conflito perene entre vampiros e lobisomens. Com a proximidade da formatura. Bella tem mais uma decisão a tomar: vida ou morte. Mas o que representará cada uma dessas escolhas? Os leitores fascinados por Crepúsculo e Lua nova vão devorar ansiosamente Eclipse - o terceiro livro da excitante saga de amor e vampiros assinada por Stephenie Meyer.	
			9788501097156						
O vendedor de sonhos	o chamado	Augusto Cury	9788560096275	2008	295	pt-BR		Um homem desconhecido tenta salvar da morte um suicida. Ninguém sabe sua origem. seu nome sua história. Proclama aos quatro ventos que a sociedades modernas se converteram num hospício Global. Com uma eloquência cativante. começa a chamar seguidores para vender sonhos. Ao mesmo tempo em que arrebata as pessoas e as liberta do cárcere da rotina. arruma muitos inimigos. Será ele um sábio ou um louco?	http://books.google.com/books/content?id=0YEqAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788580418224						
			9788536403595						
Homens são de Marte. mulheres são de Vénus: um guia prático para melhorar a comunicação e conseguir o que quer nos seus relacionamentos		John Gray	9788532505170	1995	308	pt-BR		Um guia prático para melhorar a comunicação e conseguir o que você quer nos seus relacionamentos. Um guia seguro para que um homem entenda. por exemplo. que o desabafo é uma atitude tipicamente feminina. E a mulher perceba que se trancar a sete chaves com seus problemas é uma atitude masculina.	
			9788501091338						
Economia da montagem	monumentos. galerias. objetos		9788564161184	2014	231	pt-BR			
			9507825444						
A bolsa amarela		Lygia Bojunga. Lygia Bojunga Nunes	9788589020039	2003	135	pt-BR		A Bolsa Amarela já se tornou um 'clássico' da literatura infantojuvenil. É o romance de uma menina que entra em conflito consigo mesma e com a família ao reprimir três grandes vontades (que ela esconde numa bolsa amarela)- a vontade de crescer. a de ser garoto e a de se tornar escritora. A partir dessa revelação- po si mesma uma contestação à estrutura familiar tradicional em cujo meio 'criança não tem vontade'- essa menina sensível e imaginativa nos conta o seu dia-a-dia. juntando o mundo real da família ao mundo criado por sua imaginação fértil e povoado de amigos secretos e fantasias.	
O dom supremo		Paulo Coelho. Henry Drummond	9788532500984	1995	78	pt-BR		Num certo dia do final do século passado. o acaso (talvez não exatamente o acaso) colocou um jovem missionário diante de uma pequena platéia. que ali estava para ouvir um outro pregador. O jovem missionário era Henry Drummond. que acabara de regressar da África. onde fora buscar respostas para aquelas questões que sempre ocuparam as mentes e os corações humanos. Quando as pessoas souberam que não ouviriam o famoso Pastor. mas um desconhecido. em tudo semelhante a elas. houve muita insatisfação. Drummond. no entanto. aceitou o desafio que o destino havia lhe dado. As palavras que disse naquele dia transformaram-se num dos mais belos textos sobre o supremo dom que foi concedido à Humanidade - o Amor.	
Veroverbo		Claudio Santana. Clarice Muller	9788574970981			en			http://books.google.com/books/content?id=bjxocp-hWtYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
As intermitências da morte	romance	José Saramago	8535907254	2005	207	pt-BR		"Não há nada no mundo mais nu que um esqueleto. escreve José Saramago diante da representação tradicional da morte. Só mesmo um grande romancista para desnudar ainda mais a terrível figura. Apesar da fatalidade. a morte também tem seus caprichos. E foi nela que o primeiro escritor de língua portuguesa a receber o Prêmio Nobel da Literatura buscou o material para seu novo romance. As intermitências da morte. Cansada de ser detestada pela humanidade. a ossuda resolve suspender suas atividades. De repente. num certo país fabuloso. as pessoas simplesmente param de morrer. E o que no início provoca um verdadeiro clamor patriótico logo se revela um grave problema. Idosos e doentes agonizam em seus leitos sem poder ""passar desta para melhor"". Os empresários do serviço funerário se vêem ""brutalmente desprovidos da sua matéria-prima"". Hospitais e asilos geriátricos enfrentam uma superlotação crônica. que não pára de aumentar. O negócio das companhias de seguros entra em crise. O primeiro-ministro não sabe o que fazer. enquanto o cardeal se desconsola. porque ""sem morte não há ressurreição. e sem ressurreição não há igreja"". Um por um. ficam expostos os vínculos que ligam o Estado. as religiões e o cotidiano à mortalidade comum de todos os cidadãos. Mas. na sua intermitência. a morte pode a qualquer momento retomar os afazeres de sempre. Então. o que vai ser da nação já habituada ao caos da vida eterna? Ao fim e ao cabo. a própria morte é o personagem principal desta ""ainda que certa. inverídica história sobre as intermitências da morte"". É o que basta para Saramago. misturando o bom humor e a amargura. tratar da vida e da condição humana."	
			9788525434432						
			9788563066695						
			9788535908459						
			9788553066776						
			9788500007767						
			9788524104558						
Um dia		David Nicholls	9788580570458	2011-12-15	411	pt-BR		Dexter Mayhew e Emma Morley se conheceram em 1988. Ambos sabem que no dia seguinte. após a formatura na universidade. deverão trilhar caminhos diferentes. Mas. depois de apenas um dia juntos. não conseguem parar de pensar um no outro. Os anos se passam e Dex e Em levam vidas isoladas - vidas muito diferentes daquelas que eles sonhavam ter. Porém. incapazes de esquecer o sentimento muito especial que os arrebatou naquela primeira noite. surge uma extraordinária relação entre os dois. Ao longo dos vinte anos seguintes. flashes do relacionamento deles são narrados. um por ano. todos no mesmo dia: 15 de julho. Dexter e Emma enfrentam disputas e brigas. esperanças e oportunidades perdidas. risos e lágrimas. E. conforme o verdadeiro significado desse dia crucial é desvendado. eles precisam acertar contas com a essência do amor e da própria vida.	
Os 100 segredos das pessoas felizes	descobertas simples e úteis dos estudos científicos sobre a felicidade	David Niven	9788586796791	2001	189	pt-BR		Baseado em pesquisas e estudos de cientistas junto a milhares de pessoas. David Niven organizou a lista dos cem segredos mais simples que. segundo ele. são realmente capazes de tornar as pessoas felizes. Apresentados com exemplos. os segredos revelados permitem que o leitor se identifique com as situações descritas. e decida o que fazer para aproveitar melhor a vida.	
O sabor do vinho		ALBERTO MIELE. A. Miele	9788589979016	2003	133	pt-BR		História da uva e do vinho. Mercados mundial e brasileiro de vinho. Regiões vitivinícolas do Brasil. Características dos vinhos varietais. Elaboração de vinhos e espumantes. Análise sensorial de vinhos e espumantes. Serviço do vinho. Harmonização vinho e comida.	
