Title	Subtitle	Author(s)	ISBN Code	Published Date	Length	Language	Memo	Desciption	Image(URL)
Taote King		LAO TSE	9788528900880		184	pt-BR		Em toda a história. encontram-se pessoas que intuíram realidades que solicitaram ao máximo sua imaginação. sua capacidade de adaptação e mesmo sua percepção. sensorial ou não. A maioria. na ânsia de transmitir algo um abismo além. passou por visionária. alucinada. causando no máximo sorrisos compadecidos aos bem-pensantes. Lao Tse foi mais um elo numa cadeia de transmissão e conservação de um ensinamento dessa natureza que. na falta de um termo apropriado. chamamos 'espiritual'. Na China. sem termo apropriado. o objeto deste ensinamento foi chamado TAO. R Wilhelm propõe traduzir TE por 'vida'. pois o ideograma chinês sugere aquilo que entretém a formação dos seres. O termo KING refere-se a livro. enquanto literatura erudita.	
Desafiando O Talento		Geoffrey Colvin. HELENA LONDRES	9788525046475	2009-01-01	287	pt-BR		"Em 'Desafiando o talento'. o autor pretende ensinar o que fazem algumas pessoas para serem mais bem sucedidas que as outras; tenta traçar perfis de pessoas aparentemente comuns que saíram vitoriosas de suas áreas ao adotar posturas ou planejar metas. Na p"	http://books.google.com/books/content?id=frkt2XVWhYUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Eugenia	história de uma mulher : novela	Marilene Müller de Vargas	9788585627829	1999	92	pt-BR			http://books.google.com/books/content?id=w5kzx0-lW8kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A metamorfose: DIE VERWANDLUNG			9788594318787						
Para Passar Em Concursos Jurídicos - 2 Volumes			9788530931360						
Direito Constitucional - Cespe 			9788535232677						
Direito Empresarial. Comercial - Volume III 			9788535233988						
Direito Empresarial - V. 02 (Comercial)			9788535233209						
Casa & Cia 2007			9788577440092						
Casa & Cia - Arquitetura dos Sentidos			9788589489799						
O Grande Livro De Receitas De Bacalhau			9788573822830						
Paralelos. 95 Anos de Unibes Contados Através da História de São Paulo	95 anos de UNIBES contados atrabés da história de São Paulo	Monica Musatti Cytrynowicz. Roney Cytrynowicz	9788588065260	2011	139	en		A partir da trajetória das entidades Unibes (União Brasileiro-Israelita do Bem-Estar-Social). Sociedade Beneficente das Damas Israelitas. Ezra. Policlínica Linath Hatzedek. Gota de Leite. Lar da Criança das Damas Israelitas. Sanatatório de Tuberculosos da Ezra e Ofidas. o livro conta a história da imigração judaica e do estabelecimento da comunidade em São Paulo. desde os anos 1910. sempre sob a perspectiva do desenvolvimento social e urbano da cidade e a da assistência social.	
O Livro Do Pai			9788577881208						
Passeio no tempo		Herta Maria Germany Gaiger	9788562984327	2014	79	pt-BR			
			9788562595004						
			9788573020953						
			9788583432593						
			9788577440078						
			9789500286541						
			9788568666012						
Questões Do Coração		Emily Giffin. Paula Gentile Bitondi	9788563219312		438	pt-BR		Tessa Russo é mãe de dois filhos e esposa de um renomado cirurgião pediátrico. APesar de todos os seus receios. ela recentemente abandonou sua carreira para se concentrar em sua família. na busca pela felicidade doméstica. POr fora. parece destinada a viver uma vida encantada. Valerie Anderson é advogada e mãe solteira de um garotinho de seis anos. Charlie. que nunca conheceu seu pai. DEpois de muitas decepções. Valerie desistiu do amor e até mesmo das amizades. acreditando que é sempre mais seguro não criar muitas expectativas. EMbora as duas vivam na mesma área de Boston. elas têm pouco em comum. com exceção do amor incondicional por seus filhos. MAs em uma noite. um trágico acidente faz suas vidas convergirem para um mesmo ponto de maneira inimaginável.	http://books.google.com/books/content?id=QYWruAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Os hermanos e nós		Ariel Palacios. Guga Chacra	9788572448499	2014	254	pt-BR			
Happy Haunting. Amelia Bedelia		Herman Parish	9780060518950	2006-07-25	64	en		Trick or treat! Amelia Bedelia wants to help prepare for the big Halloween party. but how can she follow directions when nothing is as it seems?	http://books.google.com/books/content?id=3IJpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788535636628						
			9788587011237						
			9788556510068						
			9788590597216						
SER CRISTAO - FE E PRATICA		JOHAN KONINGS	9788532628565		76	pt-BR		O livro apresenta uma visão sintética e atualizada daquilo que se espera que um cristão creia e viva. Cristãos e não cristãos encontram nesta obra uma descrição objetiva da religião. A perspectiva adotada é a católica. mas não se opõe à intenção ecumênica. pois mostra o que as grandes tradições cristãs têm em comum e contribui para o diálogo explicando a compreensão própria.	
Quem Mexeu No Meu Quiejo		Spencer Johnson	9788501054029	2003	107	pt-BR		Partes de todos nós. A história por trás da historia. Uma reunião: Chicago. A história. Quatro personagens. Encontrando queijo. Não há queijo !. Os ratos: Sniff & Scurry. Os homenzinhos: Hem & Haw. Nesse meio tempo. de volta ao labirinto. Vencendo o medo. Sentindo o gosto da aventura. Saindo do lugar assim como o queijo. Gostando da mudança. Um debate: mais tarde. naquele mesmo dia.	
Socialismo	vida. morte. ressurreição	Antônio Houaiss	9788532609182	1993	194	pt-BR			http://books.google.com/books/content?id=VtoEAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A biblioteca mágica de Bibbi Bokken		Jostein Gaarder. Klaus Hagerup. Sonali Bertuol	9788535903706	2003	179	pt-BR		"Nils tem doze anos e acaba de voltar das férias escolares de verão. passadas em companhia de sua prima Berit. na cidade de Fjærland. interior da Noruega. Para não deixar de se falar. os dois decidem escrever um diário e remetê-lo de uma cidade a outra pelo correio. Já de início. porém. parece haver algo de misterioso no diário de Nils e Berit. Ao comprá-lo numa livraria. Nils conhece uma mulher estranha. alguém que ele e Berit haviam visto de passagem durante as férias. A mulher faz questão de ajudar Nils a comprar o diário - uma esquisitice que ele não deixa de contar à prima já em sua primeira ""carta"". Em Fjærland. Berit se põe a segui-la. Diante da casa da mulher. Berit ""furta"" um pequeno envelope da caixa de correio. Dentro. encontra uma carta vinda da Itália. endereçada a uma certa Bibbi. que menciona um sebo em Roma. O estabelecimento guardaria não apenas livros raros. mas também livros ainda não escritos. E um desses livros se refere a uma certa ""biblioteca mágica"". Toda essa história Berit conta a Nils em sua primeira carta. A aventura mal começou. mas o leitor já se vê mergulhado num grande mistério. Quem é Bibbi e que biblioteca mágica é essa? É um caso para os pequenos detetives Nils e Berit investigarem a fundo - e tudo aquilo de que o leitor precisa para se divertir pelas páginas restantes. Em A biblioteca mágica de Bibbi Bokken. o grande herói é o livro e sua história. numa trama cheia de suspense e aventura."	
			9788586796340						
A ciranda das mulheres sábias	ser jovem enquanto valha. velha enquanto jovem	Clarissa Pinkola Estés	9788532521507	2007	128	pt-BR		Em 'A ciranda das mulheres sábias'. a psicanalista e poetisa Clarissa Pinkola Estés reverencia a maturidade feminina e faz uma comovente e profunda homenagem àquelas mulheres que souberam acumular sabedoria ao longo de suas existências. O livro tem uma linguagem metafórica. que se assemelha às antigas histórias contadas de mães para filhas. e chega às livrarias na última semana de maio. Clarissa Pinkola Estés parte de um doce convite à leitora para que se acomode ao seu lado e deguste com ela a bebida que foi reservada para 'uma situação especial'. a fim de que possam conversar sobre 'assuntos que importam de verdade' a duas mulheres. com a garantia de que 'aqui sua alma está em segurança'. Seduzida por uma linguagem terna. emocionante e poderosa. a autora apresenta os encantos deste 'arquétipo misterioso e irresistível da mulher sábia. do qual a avó é uma representação simbólica' e que 'não chega de repente. perfeitamente formado e se amolda como uma capa sobre os ombros de uma mulher de determinada idade'. O aspecto mais sedutor do livro reside. justamente. na representação simbólica contida nas avós. Das matriarcas da mitologia às avós dos contos de fadas. passando por aquelas anônimas de suas vivências profissionais. a autora chega às avós de suas tradições familiares. descrevendo de forma magnífica a chegada à América das ancestrais que passaram a fazer parte de sua vida familiar. aquelas 'quatro velhas refugiadas que saltaram de enormes trens pretos para o nevoeiro noturno na plataforma onde nós as aguardávamos com grande expectativa'. Ao final. as nove preces de gratidão - por todas as idosas do mundo. pelas mulheres mais velhas matreiras. pelas avós nas cozinhas. pelas tias perspicazes. pelas filhas que estão aprendendo. por todas as filhas e velhas - representam um perfeito arremate ao prazer da leitura destas páginas plenas de luz. melodia. emoção e encantamento.	
			9788592581114						
O papai é pop	crônicas		9788581742465	2015	101	pt-BR			
Noturno da Lapa		Luís Martins	9788503008358	2004	286	pt-BR		Originalmente batizado de 'Prostituição' (tendo. por sugestão do baiano Jorge Amado. seu nome modificado pouco antes do lançamento). 'Lapa' narra as andanças solitárias do jovem estudante Paulo Braga pelas vielas sujas e sombrias da cidade. Como o escritor e jornalista Ruy Castro. 'lapiano de coração'. afirma na introdução desta nova edição. é quase como se Luís Martins estivesse tendo uma 'premonição da decadência que afligiria o bairro no futuro próximo'. Relacionando-se basicamente com prostitutas - Lias. Rosinhas. Giselles. Cecílias. Odettes e Honorinas - e cafetinas. Paulo acompanha a assustadora transformação do sexo em moléstia e do amor em morte.	
Contos e lendas da mitologia Grega		Claude Pouzadoux	9788535900873	2001	284	pt-BR		"Todas as grandes histórias da mitologia grega estão reunidas neste livro. que. a exemplo dos outros volumes da Coleção Contos e Lendas. também traz um apêndice para auxiliar na contextualização histórica das narrativas apresentadas.A Mitologia grega continua por toda parte. EStá na literatura. no cinema. na música. na dança. no teatro. na filosofia. na língua que usamos diariamente. A Palavra cronômetro. por exemplo. contém o nome do deus do tempo. Crono. que se tornou o senhor todo-poderoso do universo. CRono é o mais novo dos irmãos Titãs. seis gigantes dotados de uma força descomunal. NÃo foi por coincidência que o navio Titanic recebeu esse nome: imaginava-se que nada poderia destruí-lo...E Não há quem não conheça a resposta desta adivinha: ""O que é. o que é: de manhã tem quatro patas. ao meio-dia duas e à noite três?"". NA história contada pelos gregos antigos. isso não era uma brincadeira de criança: quem matasse a charada salvaria uma cidade. FOi o que fez Édipo. um dos heróis mais famosos de todos os tempos. TAlvez o mais triste também. pois havia um grande enigma em sua própria vida e este ele não conseguiu decifrar. SUa história é emocionante. assim como a de todos os personagens da mitologia grega.TÍtulo Altamente Recomendável pela Fundação Nacional do Livro Infantil e Juvenil - FNLIJ 2001. categoria tradução criança"	
Vintage Spirits & Forgotten Cocktails	From the Alamagoozlum Cocktail to the Zombie : 80 Rediscovered Recipes and the Stories Behind Them	Ted Haigh	9781592530687	2004	144	en		The authentic vintage cocktail has made a comeback. This book does not repeat the timeworn cocktails of old. While old-fashioneds. martinis. rusty nails. margaritas. and negronis are all great drinksùand this book includes the most authentic recipesùyou can find them anywhere. Here. historian. expert. and drink aficionado Dr. Cocktail has hand-picked 80 drinks rarely made today. and all of them deserve revival. Some are from the nineteenth century. some from the Prohibition era. and some from just after World War II. as the golden age of the cocktail was waning. All are retrieved from extremely uncommon sources. In fact. some of these drinks were found carefully penned into old cocktail manuals or on scraps of paper and may never have been published. They are true treasures. indeed. Vintage Spirits and Forgotten Cocktails pays homage to the great bartenders of the past and the beverages they created. lost in time. but still grand and full of potential. If you have half the fun looking at this book and trying these recipes as the author did putting them together. a great party is sure to ensue.	http://books.google.com/books/content?id=TMBsngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
			9788574210070						
Viagem pela medicina brasileira		ARTHUR CONAN DOYLE	9788500330025	2009	115	pt-BR		Uma linda jovem cujo o pai desapareceu a 10 anos e que recebe presentes de uma pessoa desconhecida. um tesouro roubado. Um caso aparentemente fácil se torna um dos melhores livros do detetive inglês. caso este que reserva uma grande surpresa para seu ajudante e amigo Watson.	
Territórios perdidos		Orual Sória Machado	9788528004335	1998	144	pt-BR			http://books.google.com/books/content?id=BnUtAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Poesia não é difícil	introdução à análise de texto poético	Carlos Felipe Moisés	9788585418625	1996	168	pt-BR		Em sua viagem panorâmica pelo universo poético. Carlos Felipe Moisés selecionou vinte poemas que representam os principais temas da poesia em nosso idioma. Separados pelas temáticas. esses poemas são analisados em correlação com os movimentos literários e	
